driver_id,year,month,total_income,total_km,gender,age,vetek
570,2015.0,4,95466.4893219709,7968.5381587578995,M,41.7,16.8
822,2015.0,4,112015.58876590322,9065.822760975716,U,48.4,2.9
437,2015.0,4,69808.97446132592,7254.673026941162,M,29.4,9.8
70,2015.0,4,97934.87372135837,8886.02479976898,F,53.4,4.7
211,2015.0,4,106495.30364459958,8391.28188996049,M,31.1,8.5
430,2015.0,4,106308.66867125122,7616.450753434404,M,,11.6
841,2015.0,4,91997.23077062394,8608.767222649312,M,42.6,0.7
636,2015.0,4,70968.32687382717,6858.528153052597,F,58.2,7.2
189,2015.0,4,81116.80647127803,7986.014066422893,M,36.0,5.9
540,2015.0,4,98227.40068275841,9929.067237258016,M,35.9,6.5
25,2015.0,4,73834.58663973426,7046.869729455045,M,29.2,14.6
581,2015.0,4,80993.51921642532,8422.53376456467,M,30.2,18.5
578,2015.0,4,89275.9378980507,8077.93808195565,M,50.1,8.8
181,2015.0,4,81767.34953538426,8406.3706891746,M,31.3,10.0
975,2015.0,4,71710.821781814,7888.222618258189,M,40.8,9.3
863,2015.0,4,105827.96161531238,8605.718269562623,M,42.7,17.6
107,2015.0,4,95098.17584978686,8895.382864762383,M,44.0,10.0
164,2015.0,4,87430.78708059817,7802.730294127525,M,34.2,10.5
33,2015.0,4,96677.53190235898,9078.68168720325,M,49.4,15.2
647,2015.0,4,81860.50454449642,7838.090371544448,F,57.6,11.7
991,2015.0,4,76428.94247851534,6059.961091669858,M,29.6,11.1
901,2015.0,4,120165.91643235354,9182.412724959611,M,50.9,9.0
399,2015.0,4,107150.00941518202,9005.851179347752,M,48.2,0.9
337,2015.0,4,84018.91803331565,8019.40719149456,M,30.4,9.4
961,2015.0,4,78388.77780936912,8988.293711807195,M,56.8,6.9
861,2015.0,4,142789.99317685748,7660.690289052722,M,42.3,12.6
375,2015.0,4,102382.6517426746,10051.92229349937,M,37.7,18.2
982,2015.0,4,85440.23214260594,8870.819154811272,M,,9.4
282,2015.0,4,69831.45788123789,7302.041911581832,M,53.4,15.3
143,2015.0,4,69030.28182213013,5273.603681677972,M,,7.3
55,2015.0,4,101994.61005839039,9601.970675477813,M,28.3,2.7
99,2015.0,4,129939.70856421196,8093.877701280178,M,49.7,5.7
359,2015.0,4,143629.84690171952,9639.504713677094,M,42.1,7.9
374,2015.0,4,107734.81306704937,9264.099564951677,U,34.0,13.9
481,2015.0,4,60711.943554814476,6782.023767638316,F,45.6,17.1
272,2015.0,4,82231.67816774533,7663.85392030856,M,35.6,10.3
120,2015.0,4,72129.61553982433,7034.408298650794,F,43.8,7.2
888,2015.0,4,117429.67905382265,10045.544713239655,M,,4.0
987,2015.0,4,89814.34704944656,8430.691837965594,M,26.8,13.8
268,2015.0,4,74725.8025614424,7629.582416215731,M,35.6,11.2
74,2015.0,4,101621.32672142546,8187.056025912369,M,31.6,15.0
311,2015.0,4,73055.89102599528,7571.042501571163,U,26.5,9.4
94,2015.0,4,74074.3436464577,7215.133343480163,M,,9.2
668,2015.0,4,87794.54559661943,8137.658999443584,M,,14.9
308,2015.0,4,123370.7607611137,8391.464106734898,M,42.4,0.9
564,2015.0,4,85520.16909495054,7756.602490088106,M,30.9,18.6
466,2015.0,4,126942.0928470894,9823.553017297338,M,46.1,13.4
644,2015.0,4,133423.85615813336,9627.560512891796,M,54.4,5.4
453,2015.0,4,94906.0232438868,7715.402916505509,F,54.9,5.4
145,2015.0,4,90656.64599382086,7893.366749985591,M,44.2,7.5
124,2015.0,4,85459.6975159769,9761.106108910719,M,29.5,9.5
456,2015.0,4,129538.58396379376,9336.672926118305,M,50.2,5.9
417,2015.0,4,87482.09677197832,9126.96857793816,M,38.6,3.6
528,2015.0,4,88793.20779492041,7961.4037749577465,M,27.1,15.5
488,2015.0,4,95168.08540342785,9830.050191046654,M,26.8,5.8
8,2015.0,4,106733.7053208926,8523.357845711716,M,33.8,13.2
958,2015.0,4,90685.01052044117,8321.04326209642,M,36.9,2.3
263,2015.0,4,106064.21470566615,9636.73763163792,M,47.0,12.2
533,2015.0,4,97628.04796856051,8637.923555782898,U,30.2,0.1
260,2015.0,4,81776.20745330595,6921.302627668441,M,29.2,1.1
511,2015.0,4,80350.99643107077,7043.0089981419505,M,29.7,10.9
510,2015.0,4,85649.33283877812,7840.735810416765,M,49.4,12.2
414,2015.0,4,71185.4940474048,6900.188459655212,M,32.5,7.7
243,2015.0,4,82662.76970126403,7017.106369705868,M,32.5,16.7
614,2015.0,4,88023.76283413495,6995.123667147964,M,54.2,17.8
563,2015.0,4,79660.13657896094,8617.830401283842,M,38.5,7.1
106,2015.0,4,84832.62190406928,7685.112689364885,M,36.8,1.2
811,2015.0,4,70016.57357964305,7071.853935711463,M,,18.6
877,2015.0,4,89270.78101507934,7100.270214783172,M,35.2,16.7
480,2015.0,4,76413.21019791164,7771.425763267013,M,32.9,11.5
922,2015.0,4,83199.07903502243,7038.93160039293,M,53.1,0.8
344,2015.0,4,120403.90477779633,9794.622461395225,M,46.0,11.8
517,2015.0,4,87954.61731840666,8811.853975824335,M,41.2,16.4
115,2015.0,4,99297.06209672964,8727.29061132863,M,30.7,17.6
321,2015.0,4,71050.1169640948,7935.9888018088595,M,,10.1
492,2015.0,4,79650.91374622821,8064.702675594755,M,41.7,11.8
463,2015.0,4,93986.96905624762,7680.095424820553,M,42.6,10.3
530,2015.0,4,90090.16004768579,7365.6610131945035,U,41.5,6.9
137,2015.0,4,93116.24480041253,9123.035983974436,M,52.6,17.6
371,2015.0,4,85636.59397322433,7994.800480166829,M,46.6,5.6
509,2015.0,4,75627.6293580343,5914.273100302287,M,41.1,0.5
501,2015.0,4,87974.63079084482,7055.9441268427,M,42.0,9.3
557,2015.0,4,64882.735425423074,6862.917383534727,M,55.8,16.5
35,2015.0,4,77409.63611696582,7751.772282184884,M,47.7,4.0
165,2015.0,4,93256.74981570276,9155.42690982213,F,44.8,17.6
291,2015.0,4,105952.36906697098,9954.231579870293,M,27.5,5.4
144,2015.0,4,65760.90913487798,6133.746730195733,M,37.8,7.4
957,2015.0,4,78698.86000220713,8559.666119024525,M,49.8,5.3
880,2015.0,4,119230.10652281609,8203.01522993925,M,39.4,0.6
496,2015.0,4,119659.29833751581,9008.127967232962,M,52.7,17.3
301,2015.0,4,79345.54296282947,7961.482121364173,U,27.4,2.0
68,2015.0,4,90855.30392143791,6691.0342606242975,F,29.5,1.0
849,2015.0,4,88326.91887699027,8460.20286053563,M,59.8,12.1
497,2015.0,4,119351.78351727658,9383.268250898267,U,40.6,11.7
169,2015.0,4,74930.95820432826,8531.722750116023,M,54.4,18.0
649,2015.0,4,93685.55002676234,8939.013871554384,F,35.3,6.4
443,2015.0,4,99708.76962630427,8503.808929363824,M,31.0,1.5
327,2015.0,4,100111.37999830118,8369.611258011633,M,46.1,0.8
88,2015.0,4,83422.78489517502,8318.71537186917,M,38.0,18.0
875,2015.0,4,91783.31142375695,8036.339671153182,U,36.8,16.3
387,2015.0,4,87919.22465740869,7402.956868142338,M,40.6,16.0
898,2015.0,4,76318.27642225858,7123.25643050879,M,41.3,0.0
994,2015.0,4,110863.38387359865,8307.91869777031,M,37.2,2.6
522,2015.0,4,64562.631393216,8474.871630765836,M,46.6,14.7
687,2015.0,4,78623.29163967833,9802.358596629243,M,38.2,9.8
478,2015.0,4,92422.95276277311,8337.21297126402,M,29.8,7.8
646,2015.0,4,91068.89693922648,8457.100807591938,M,29.8,10.2
837,2015.0,4,101648.92249553556,8364.899644803592,M,30.4,12.8
641,2015.0,4,79310.66458191947,8776.721863205546,M,28.0,11.0
918,2015.0,4,65926.25287271572,7471.751546211687,M,39.4,2.6
114,2015.0,4,85991.55659230037,8928.586815737566,M,55.6,0.9
361,2015.0,4,95380.87281444797,9125.716993651393,U,45.5,15.4
350,2015.0,4,78493.81050210391,7190.282164714,M,47.0,18.5
923,2015.0,4,79187.59729907996,6908.070024369175,M,26.6,7.7
141,2015.0,4,96366.80620512726,7371.561617053336,M,39.1,8.8
648,2015.0,4,80944.94735440327,8299.716402762753,M,43.4,4.4
1,2015.0,4,63487.30968793569,6561.114497481187,F,37.8,1.4
791,2015.0,4,85326.12621071324,7775.758613421134,M,54.4,8.0
574,2015.0,4,82459.04542455565,7463.270329462382,M,55.1,0.3
351,2015.0,4,78610.28446779065,7445.841065805551,M,48.1,7.8
335,2015.0,4,88930.0311500933,8476.49330584008,M,41.4,0.8
13,2015.0,4,71236.11271635805,7226.249720313944,M,37.8,15.2
431,2015.0,4,83276.12550995125,7863.481090110079,M,37.0,3.0
78,2015.0,4,75037.7983813307,7729.647920317849,M,30.4,7.9
